"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"6855","Huasaca Mamani, Eddy Gonzalo","Inversión Extranjera Directa y su Impacto en las Exportaciones Totales en Perú, 2008-2023","2025-01-20","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/684518","Inversión extranjera directa (IED) | Exportaciones | Diversificación económica | Competitividad | Modelo Mundell | Perú | Foreign direct investment (FDI) | Exports | Economic diversification | Competitiveness | Mundell Model","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6856","Quispesivana Sacsi, Mario","Los aspectos sociales de los pequeños productores mineros y artesanales auríferos en el anexo de Secocha del distrito Mariano Nicolás Valcárcel – Camaná 2018","2018","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/7197","Minería Artesanal | Migración | Minería Informal | Ruralidad","Universidad Nacional de San Agustín de Arequipa.Facultad de Ciencias Histórico Sociales","","",""
"6857","Aquino Chilón, Alex Ivan","Modelo estractivista minero, enfoques y propuestas de desarrollo económico desde  los actores sociales en el distrito de cajamarca 2010 - 2015.","2018","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/2143","Extractivismo | extracción de minerales en Cajamarca | trabajo en minería","Universidad Nacional de Cajamarca. Facultad de Ciencias Sociales","","",""
"6858","Delmer, Huayra Romani","Desempeño laboral de los gestores de proyectos y su relación con el nivel de calidad de las obras de inversión pública de la municipalidad distrital de Acostambo, Huancavelica, 2014-2015.","2019","Universidad nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/5711","Desempeño | eficiencia | eficacia | economía | calidad de servicio | calidad de ejecución de obra.","Universidad Nacional del Centro del Peru - Unidad de Posgrado de la Facultad de Ciencias de la Administración","","",""
"6859","Ayuque Huamán, Lena Lucía","Los microcréditos en el crecimiento económico de los pequeños empresarios del Distrito de Huancavelica - año 2012","2014","Universidad Nacional de Huancavelica","http://repositorio.unh.edu.pe/handle/UNH/321","Empresarios | Pequeños empresarios | Microcréditos | Crecimiento económico","Universidad Nacional de Huancavelica. Facultad de Ciencias Empresariales","","",""
"6860","Mochizuki Tamayo, Lourdes","Estrategia de comunicación utilizada por la Cancillería durante el conflicto del CENEPA y las negociaciones de paz con Ecuador, los años 1995-1998","2016-11-08","Academia Diplomática del Perú Javier Pérez de Cuéllar","http://repositorio.adp.edu.pe/handle/ADP/91","estrategia | gestión de la información | medios de comunicación | Cancillería peruana | conflicto del Cenepa | negociaciones de paz | relaciones bilaterales | Ecuador","Academia Diplomática del Perú Javier Pérez de Cuéllar","","",""
"6861","Rodríguez Sánchez, Edith","Elaboración de un Plan de Negocios para la Creación de una Tienda Virtual de Chompas Artesanales de Alpaca en la  Ciudad del Cusco","2024-07-10","Escuela de Posgrado Newman","https://hdl.handle.net/20.500.12892/1272","Idea de negocio | Plan de marketing | Proyección financiera | Creación tienda virtual","Escuela de Posgrado Newman","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6862","Bernabé Jimenez, Wilfredo Luis","Diseño de un modelo de mejora aplicado a las operadoras de telecomunicaciones para disminuir el impacto visual de la planta externa instalada en la zona monumental de Tacna, 2020","2021-02-23","Escuela de Posgrado Newman","https://hdl.handle.net/20.500.12892/232","Propuesta de mejora | Impacto Visual","Escuela de Posgrado Newman","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6863","Romero Mayta, Geraldine Evelyn","Incidencia de los pagos de los tributos para la obtención de beneficios en las Mypes comerciales del Parque Industrial del Distrito Villa el Salvador","2016","Universidad Autónoma del Perú","https://hdl.handle.net/20.500.13067/354","Mypes | Tributos | Impuestos","Universidad Autónoma del Perú. Facultad de Ciencias de Gestión","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6864","Abregu Ramirez, Rosario Milagros | Chavez Huapaya, Silvia Maribel","Implementación de un aplicativo móvil de economía colaborativa de productos de expresión social en el distrito de Miraflores","2023-12-12","Universidad Autónoma del Perú","https://hdl.handle.net/20.500.13067/2844","Economía colaborativa | Delivery | Redes sociales | Venta por aplicativo","Universidad Autónoma del Perú. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6865","Alayo Pescorán, Sarita Regina | Huamán Cusichaqui, Martín Greco | Alvarado Carbajal, Indira Yahayra | Oyola Cueva, Maribel Milagros | Bueno Otaño, Gianella Viviana","Influencia de la innovación abierta en el rendimiento financiero a través de la responsabilidad social corporativa en el sector manufacturero en economías emergentes","2021","Universidad ESAN","https://hdl.handle.net/20.500.12640/2906","Responsabilidad social | Responsabilidad del empleador | Rendimiento de la empresa | Innovaciones | Gestión financiera | Industria","Universidad ESAN. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"6866","Bardales Mejia, Geraldine Rocio | Echegaray Percca, Alessandro Miguel | Malaga Salazar, Jesus Arturo | Pacheco Ramos, Guido Angelo","Efecto del tráfico de carga de los puertos marítimos sobre el crecimiento económico de Perú, México, Chile, Colombia y Ecuador durante el periodo 2001 a 2022","2024","Universidad ESAN","https://hdl.handle.net/20.500.12640/3935","Crecimiento económico | Transporte de carga | Transporte marítimo | Puertos | Teoría económica","Universidad ESAN. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"6867","Farro Toranzo, Kamira Mirella | Quesada Ramirez, Efren Alexander | Tanco Cirilo, Mario John | Tataje Mendoza, David Joan","Plan de negocio de una plataforma digital de intermediación de ventas","2023","Universidad ESAN","https://hdl.handle.net/20.500.12640/3428","Estudios de viabilidad | Comercio electrónico | Planificación del mercadeo | Plataformas virtuales | Tecnología de la información | Industria textil | Microempresas | Pequeñas empresas","Universidad ESAN. Escuela de Administración de Negocios para Graduados","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6868","Naula Rios, Jorge Luis Joel | Latorre Jurado, Emely Melissa","Plan de negocios para la implementación de una plataforma de interconexión para vehículo compartido entre colaboradores de una misma empresa","2022","Universidad ESAN","https://hdl.handle.net/20.500.12640/3178","Planificación estratégica | Plataformas virtuales | Transporte terrestre | Economía colaborativa","Universidad ESAN. Escuela de Administración de Negocios para Graduados","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6869","Centurión Fernández, Diana Cecilia","Turismo de aventura y su contribución al desarrollo local del distrito de Cuispes, región Amazonas 2021.","2023","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas","https://hdl.handle.net/20.500.14077/3528","Turismo de aventura | Desarrollo local | Contribución","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6870","Briceño Trigoso, Erlith Ester","Factores de la producción de café en los ingresos familiares, distrito de Ocúmal, 2023","2024","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas","https://hdl.handle.net/20.500.14077/4264","Factores de producción de café | Desarrollo comunitario | Ingresos familiares","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
